Simulation,LL_Null,LL_Alternative,TestStatistic,PIT_Sup_Null,PIT_Sup_Alternative,PIT_Pairwise_Delta,KS_Null,KS_Alternative,ExitFlag_Null,ExitFlag_Alternative
145,625.613559111596,627.303379476807,3.37964073042235,0.0295774647887324,0.023943661971831,0.0169014084507042,0.0364403953261423,0.0386154512255854,1,2
146,620.851952160855,621.528512017546,1.35311971338274,0.0323943661971831,0.0352112676056338,0.0084507042253521,0.0379363697094509,0.0455253233614433,2,2
147,620.301618106424,621.931886768268,3.26053732368655,0.0183098591549296,0.0126760563380282,0.0112676056338028,0.0291694139796235,0.0226466828196271,2,2
148,629.897130939606,630.924437118766,2.0546123583199,0.023943661971831,0.0154929577464789,0.0112676056338028,0.0382402579569613,0.0300640644112997,2,2
149,606.02478944693,608.424899617172,4.80022034048397,0.0154929577464789,0.0211267605633803,0.0169014084507042,0.0449020225417955,0.0339874686642133,2,2
150,646.122745911228,648.380561452312,4.51563108216806,0.0183098591549296,0.0267605633802817,0.0225352112676056,0.0472874161804369,0.0244449614715802,2,2
151,627.012257433508,629.479471347448,4.93442782788043,0.023943661971831,0.023943661971831,0.0084507042253521,0.0257899566850521,0.0210812053876045,1,2
152,622.294858421307,624.594990336362,4.60026383010972,0.0154929577464789,0.0183098591549296,0.0169014084507042,0.0452131601866269,0.0344296546803288,2,2
153,586.960320256772,590.419952476079,6.91926443861507,0.0267605633802817,0.0323943661971831,0.0225352112676056,0.0400865903423924,0.0233514769964066,2,2
154,634.37018674027,637.691651747798,6.64293001505484,0.0323943661971831,0.0352112676056338,0.0197183098591549,0.0489201075195878,0.0514571018166941,1,2
155,624.412615772688,624.940733662306,1.05623577923507,0.0267605633802817,0.023943661971831,0.00845070422535212,0.0331109840288375,0.0302554433511912,2,2
156,633.043040634387,633.554374581102,1.02266789342957,0.0211267605633803,0.0211267605633803,0.0084507042253521,0.0304558722100572,0.0240925348213503,2,2
157,619.841910045384,621.209991599929,2.73616310909028,0.023943661971831,0.0267605633802817,0.00845070422535212,0.0335551284250513,0.0288351789598656,2,2
158,601.188039395716,603.713554753419,5.05103071540566,0.0352112676056338,0.023943661971831,0.0225352112676056,0.0288435814600622,0.0245922027346341,2,2
159,626.880960504015,629.653974353723,5.54602769941584,0.0352112676056338,0.0323943661971831,0.0225352112676056,0.0739443442588871,0.0476350872456653,2,2
160,629.408301181245,630.328892537536,1.84118271258058,0.0380281690140845,0.0352112676056338,0.00845070422535212,0.0543809052438924,0.0531969209956829,1,2
161,638.637719464739,641.017430764135,4.75942259879298,0.0295774647887324,0.023943661971831,0.0112676056338028,0.0404280679472543,0.0253080969718435,2,2
162,614.276953546092,615.4166892352,2.27947137821525,0.0436619718309859,0.0492957746478873,0.00845070422535212,0.0408402651475966,0.0572680004208424,1,2
163,641.61422369178,642.225734003957,1.22302062435347,0.0211267605633803,0.0183098591549296,0.0225352112676056,0.02269438442071,0.0325574801956049,2,2
164,603.587730392827,604.450393144298,1.72532550294181,0.0267605633802817,0.0352112676056338,0.0140845070422535,0.0430044218570583,0.0425513403247614,1,2
165,592.989838060185,596.076648054232,6.1736199880952,0.0323943661971831,0.0295774647887324,0.0253521126760563,0.0460336824386141,0.0392306030036337,2,2
166,613.195711198007,613.852302749066,1.31318310211805,0.023943661971831,0.0211267605633803,0.00563380281690141,0.0500498868991175,0.0361471759168396,2,2
167,655.414227908306,658.887203716425,6.94595161623988,0.0267605633802817,0.023943661971831,0.0169014084507042,0.0442218730526533,0.0387554517330388,2,2
168,612.654913705759,615.309911285983,5.30999516044812,0.0436619718309859,0.0380281690140845,0.0112676056338028,0.0502060233245286,0.0438191988712906,2,2
169,623.630476177458,625.377347772054,3.49374318919195,0.0267605633802817,0.023943661971831,0.0169014084507042,0.0352010674992906,0.0307632268779694,2,2
170,617.776756958073,617.925962796622,0.298411677097192,0.0267605633802817,0.0267605633802817,0.00563380281690141,0.0310478966330942,0.0277165403328,2,2
171,630.945434236785,632.318644593977,2.74642071438439,0.0380281690140845,0.0323943661971831,0.0225352112676056,0.0651484454618392,0.0462773278854829,1,2
